,Title,Location,Price,Size,Listing_Type,Governorate,price_per_sqm,Size_boxcox
0,13,27,0.5733818349402895,-0.40742437512097807,0,7,0.781126363665175,13.93284464905461
1,526,110,0.06815723724446582,-0.5489010276041623,0,7,0.33825985766661426,13.159406343255014
2,66,110,-0.18445506160344602,-0.8189928187084229,0,7,0.31395857880365546,11.510254784972863
4,63,74,1.5787787843549788,-0.5617625414662699,0,7,2.3521156738686857,13.086386845272546
5,1265,109,2.341667926875673,2.1648783973005523,0,7,0.2908885647364198,23.403546332064252
7,939,56,3.35211712226732,2.1648783973005523,0,7,0.683078803879424,23.403546332064252
8,19,34,-0.18445506160344602,-1.3077303454685136,0,7,1.9576970810941872,7.494175985531001
9,1130,56,3.35211712226732,1.4574951348846314,0,7,1.0572603075515756,21.3173376147925
10,543,26,1.5838310303319372,-0.150194097878825,0,7,1.4674592821654322,15.220753099411704
11,563,56,0.3207695360923777,-0.40742437512097807,0,7,0.4869836843079219,13.93284464905461
12,495,56,1.558569800447146,-0.2916707503620092,0,7,1.6878414119590923,14.529427956198603
13,41,110,-0.18445506160344602,-0.7932697909842076,0,7,0.2768817704813125,11.67913652277448
14,944,109,2.8468925245714964,2.1648783973005523,0,7,0.4869836843079219,23.403546332064252
16,594,28,0.3207695360923777,-0.40742437512097807,0,7,0.4869836843079219,13.93284464905461
17,558,48,0.21972461655321293,-0.40742437512097807,0,7,0.36932661256502053,13.93284464905461
18,552,34,0.3207695360923777,-0.40742437512097807,0,7,0.4869836843079219,13.93284464905461
19,58,26,1.3312187314840251,-0.150194097878825,0,7,1.2223403827010544,15.220753099411704
30,1134,34,1.3312187314840251,2.923707715164904,0,7,-0.24632466673592632,25.405926431909574
31,526,110,-0.03288768229469892,0.441435539778127,0,7,-0.34582992592044526,17.76928600093581
35,27,56,1.053345202751322,-0.9218849296052841,0,7,2.8891488990588217,10.803999652740847
36,526,110,0.3207695360923777,-0.2916707503620092,0,7,0.3655486331971293,14.529427956198603
39,30,70,0.8765165935577838,-0.40742437512097807,0,7,1.1340975788938787,13.93284464905461
40,547,31,0.4218144556315424,-0.3431168058104398,0,7,0.5290040670732439,14.267974764928441
43,520,70,2.5942802257235846,2.1648783973005523,0,7,0.38893612452217097,23.403546332064252
44,506,110,0.06815723724446582,-0.2788092364999015,0,7,0.0858800306389404,14.59391263995666
45,601,74,1.836443329179849,-0.21450166718936328,0,7,1.8298089596345117,14.911311770203698
46,503,74,1.5838310303319372,-0.33025529194833214,0,7,1.7912012248542326,14.333875664477516
